"Time, Voltage"
"0,521"
"100,521"
"200,521"
"301,520"
"401,520"
"501,521"
"602,520"
"702,520"
"802,521"
"903,520"
"54,070,539"
"54,170,539"
"54,270,539"
"54,371,538"
"54,471,538"
"54,572,538"
"54,672,538"
"54,773,538"
"54,874,538"
"54,974,538"
"55,074,537"
"55,175,537"
"55,275,537"
"55,376,537"
"55,477,537"
"55,577,538"
"55,677,538"
"55,778,537"
"55,878,537"
"55,980,537"
"56,080,537"
"56,180,537"
"56,281,537"
"56,381,537"
"56,481,537"
"56,582,536"
"56,683,536"
"56,783,536"
"56,884,536"
"56,984,536"
"57,084,536"
"57,185,536"
"57,286,536"
"57,387,536"
"57,487,536"
"57,587,536"
"57,688,536"
"57,788,536"
"57,889,536"
"57,990,536"
"58,090,535"
"58,190,535"
"58,291,536"
"58,391,535"
"58,491,535"
"58,593,535"
"58,693,535"
"58,793,535"
"58,894,536"
"58,994,535"
"59,095,535"
"59,196,535"
"59,296,535"
"59,397,535"
"59,497,535"
"59,597,535"
"59,698,534"
"59,798,535"
"59,899,534"
"60,000,534"
"60,100,535"
"60,200,535"
"60,301,534"
"60,401,534"
"60,503,534"
"60,603,534"
"60,703,534"
"60,804,534"
"60,904,534"
"61,004,534"
"61,106,534"
"61,206,535"
"61,306,534"
"61,407,534"
"61,507,534"
"61,607,533"
"61,708,533"
"61,809,534"
"61,910,533"
"62,010,533"
"62,110,534"
"62,211,533"
"62,311,534"
"62,412,534"
"62,513,533"
"62,613,534"
"62,713,533"
"62,814,533"
"62,914,533"
"63,014,533"
"63,116,533"
"63,216,533"
"63,316,533"
"63,417,533"
"63,517,533"
"63,618,533"
"63,719,533"
"63,819,532"
"63,920,533"
"64,020,532"
"64,120,532"
"64,221,532"
"64,322,532"
"64,422,532"
"64,523,532"
"64,623,532"
"64,723,532"
"64,824,532"
"64,924,532"
"65,026,532"
"65,126,532"
"65,226,532"
"65,327,532"
"65,427,532"
"65,527,532"
"65,629,532"
"65,729,532"
"65,829,532"
"65,930,532"
"66,030,531"
"66,130,531"
"66,231,531"
"66,332,531"
"66,433,532"
"66,533,532"
"66,633,532"
"66,734,531"
"66,834,532"
"66,935,532"
"67,036,532"
"67,136,531"
"67,236,531"
"67,337,531"
"67,437,531"
"67,538,531"
"67,639,531"
"67,739,531"
"67,840,531"
"67,940,531"
"68,040,531"
"68,141,531"
"68,242,531"
"68,342,531"
"68,443,531"
"68,543,531"
"68,643,531"
"68,744,531"
"68,845,531"
"68,945,531"
"69,046,531"
"69,146,531"
"69,246,531"
"69,347,531"
"69,447,531"
"69,549,531"
"69,649,530"
"69,749,531"
"69,850,531"
"69,950,530"
"70,050,530"
"70,152,531"
"70,252,530"
"70,352,531"
"70,453,531"
"70,553,530"
"70,653,530"
"70,755,530"
"70,855,530"
"70,956,531"
"71,056,530"
"71,156,530"
"71,257,530"
"71,357,530"
"71,458,530"
"71,559,530"
"71,659,530"
"71,759,530"
"71,860,530"
"71,960,530"
"72,061,530"
"72,162,530"
"72,262,530"
"72,363,530"
"72,463,530"
"72,563,530"
"72,665,529"
"72,765,530"
"72,865,530"
"72,966,530"
"73,066,530"
"73,166,530"
"73,267,530"
"73,368,529"
"73,468,529"
"73,569,530"
"73,669,530"
"73,769,529"
"73,870,530"
"73,971,530"
"74,072,530"
"74,172,530"
"74,272,530"
"74,373,529"
"74,473,530"
"74,573,529"
"74,675,529"
"74,775,529"
"74,875,530"
"74,976,529"
"75,076,529"
"75,176,529"
"75,278,529"
"75,378,529"
"75,479,529"
"75,579,529"
"75,679,529"
"75,780,529"
"75,881,530"
"75,981,529"
"76,082,529"
"76,182,529"
"76,282,530"
"76,383,529"
"76,483,529"
"76,584,529"
"76,685,529"
"76,785,529"
"76,886,529"
"76,986,529"
"77,086,529"
"77,188,529"
"77,288,529"
"77,388,529"
"77,489,529"
"77,589,529"
"77,689,529"
"77,791,528"
"77,891,529"
"77,991,529"
"78,092,528"
"78,192,528"
"78,292,528"
"78,393,529"
"78,494,529"
"78,595,528"
"78,695,528"
"78,795,528"
"78,896,528"
"78,996,528"
"79,097,528"
"79,198,528"
"79,298,528"
"79,398,528"
"79,499,528"
"79,599,528"
"79,700,528"
"79,801,529"
"79,901,528"
"80,002,528"
"80,102,528"
"80,202,528"
"80,303,528"
"80,404,528"
"80,504,528"
